,player_id,targets,deep_targets,red_zone_targets,air_yards,air_yards_per_target,yac,yac_oe,carries,yards_per_carry,red_zone_carries,big_carries,cpoe,big_carry_percentage,player_name,team,targets_team,carries_team,red_zone_targets_team,red_zone_carries_team,target_percentage,carry_percentage,red_zone_target_percentage,red_zone_carry_percentage
88,00-0032972,20.0,,2.0,-2.0,-0.1,144.0,69.54592105987831,64.0,3.375,8.0,7.0,,0.109375,D.Booker,NYG,291,184,22,21,0.06872852233676977,0.34782608695652173,0.09090909090909091,0.38095238095238093
89,00-0035535,25.0,4.0,,343.0,13.72,22.0,-27.9997436598278,,,,,,,D.Slayton,NYG,291,184,22,21,0.0859106529209622,,,
90,00-0033932,29.0,1.0,1.0,402.0,13.862068965517242,75.0,9.804571942084294,,,,,,,K.Golladay,NYG,291,184,22,21,0.09965635738831616,,0.045454545454545456,
91,00-0033881,33.0,,3.0,128.0,3.878787878787879,101.0,-27.97025359646068,1.0,-3.0,1.0,,,,E.Engram,NYG,291,184,22,21,0.1134020618556701,0.005434782608695652,0.13636363636363635,0.047619047619047616
92,00-0036913,35.0,2.0,2.0,228.0,6.514285714285714,200.0,18.062857833283488,2.0,4.0,1.0,,-25.500863790512085,,K.Toney,NYG,291,184,22,21,0.12027491408934708,0.010869565217391304,0.09090909090909091,0.047619047619047616
93,00-0032385,43.0,,3.0,311.0,7.232558139534884,99.0,34.41286501489958,1.0,-9.0,,,,,S.Shepard,NYG,291,184,22,21,0.14776632302405499,0.005434782608695652,0.13636363636363635,
94,00-0030520,,,,,,,,2.0,1.0,,,4.601631605106851,,M.Glennon,NYG,291,184,22,21,,0.010869565217391304,,
95,00-0035715,1.0,,,-1.0,-1.0,8.0,0.4332725746498909,11.0,4.363636363636363,2.0,1.0,,0.09090909090909091,D.Gore,KC,322,189,22,16,0.003105590062111801,0.0582010582010582,,0.125
96,00-0031595,1.0,,,-2.0,-2.0,13.0,4.4458123850417905,3.0,3.0,,,,,M.Burton,KC,322,189,22,16,0.003105590062111801,0.015873015873015872,,
97,00-0029164,1.0,,1.0,0.0,0.0,-2.0,-4.33730491658207,,,,,,,M.Remmers,KC,322,189,22,16,0.003105590062111801,,0.045454545454545456,
98,00-0033481,2.0,,,31.0,15.5,3.0,-1.2241540796967456,,,,,,,M.Kemp,KC,322,189,22,16,0.006211180124223602,,,
99,00-0029664,3.0,,1.0,37.0,12.333333333333334,0.0,-3.0245178093318827,,,,,,,J.Gordon,KC,322,189,22,16,0.009316770186335404,,0.045454545454545456,
100,00-0036637,3.0,,1.0,6.0,2.0,9.0,-5.609903113414475,,,,,,,N.Gray,KC,322,189,22,16,0.009316770186335404,,0.045454545454545456,
101,00-0035547,5.0,,2.0,38.0,7.6,9.0,-4.117490988479404,,,,,,,J.Fortson,KC,322,189,22,16,0.015527950310559006,,0.09090909090909091,
102,00-0032062,6.0,,,11.0,1.8333333333333333,33.0,5.13413930117531,1.0,2.0,,,,,B.Bell,KC,322,189,22,16,0.018633540372670808,0.005291005291005291,,
103,00-0036360,11.0,,3.0,-18.0,-1.8,73.0,16.688379427192558,65.0,4.676923076923077,3.0,7.0,,0.1076923076923077,C.Edwards-Helaire,KC,322,189,22,16,0.034161490683229816,0.3439153439153439,0.13636363636363635,0.1875
104,00-0031376,11.0,,,-12.0,-1.0909090909090908,51.0,4.526706729084253,4.0,3.0,,,,,J.McKinnon,KC,322,189,22,16,0.034161490683229816,0.021164021164021163,,
105,00-0032775,21.0,2.0,,261.0,12.428571428571429,21.0,-21.586488965214812,,,,,,,D.Robinson,KC,322,189,22,16,0.06521739130434782,,,
106,00-0034301,24.0,,2.0,-6.0,-0.25,173.0,36.142876484504086,65.0,3.5384615384615383,9.0,4.0,,0.06153846153846154,Da.Williams,KC,322,189,22,16,0.07453416149068323,0.3439153439153439,0.09090909090909091,0.5625
107,00-0034297,25.0,1.0,1.0,312.0,12.48,74.0,-12.942584199729028,,,,,,,B.Pringle,KC,322,189,22,16,0.07763975155279502,,0.045454545454545456,
108,00-0035140,47.0,3.0,2.0,323.0,6.872340425531915,240.0,13.679550323373402,4.0,8.25,,1.0,,0.25,M.Hardman,KC,322,189,22,16,0.14596273291925466,0.021164021164021163,0.09090909090909091,
109,00-0030506,71.0,2.0,4.0,565.0,7.957746478873239,289.0,69.6709688218034,,,,,,,T.Kelce,KC,322,189,22,16,0.2204968944099379,,0.18181818181818182,
110,00-0033040,90.0,6.0,5.0,894.0,9.933333333333334,255.0,-71.53748261448345,5.0,12.6,,4.0,,0.8,T.Hill,KC,322,189,22,16,0.2795031055900621,0.026455026455026454,0.22727272727272727,
111,00-0026197,,,,,,,,1.0,4.0,,,3.2737002770105996,,C.Henne,KC,322,189,22,16,,0.005291005291005291,,
112,00-0033873,,,,,,,,30.0,7.8,2.0,10.0,4.109734360311852,0.3333333333333333,P.Mahomes,KC,322,189,22,16,,0.15873015873015872,,0.125
113,00-0035823,1.0,,,7.0,7.0,0.0,0.0,,,,,,,B.Ellefson,MIN,263,193,12,11,0.0038022813688212928,,,
114,00-0036635,1.0,,,4.0,4.0,2.0,-2.299577011639485,,,,,,,I.Smith-Marsette,MIN,263,193,12,11,0.0038022813688212928,,,
115,00-0028042,1.0,,,1.0,1.0,6.0,-0.5626953174796654,,,,,,,L.Stocker,MIN,263,193,12,11,0.0038022813688212928,,,
116,00-0034766,4.0,,1.0,10.0,2.5,12.0,1.3310041260847356,,,,,,,C.Herndon,MIN,263,193,12,11,0.015209125475285171,,0.08333333333333333,
117,00-0032918,6.0,,,4.0,0.6666666666666666,22.0,-18.402348979165254,6.0,5.666666666666667,2.0,1.0,,0.16666666666666666,C.Ham,MIN,263,193,12,11,0.022813688212927757,0.031088082901554404,,0.18181818181818182
118,00-0033839,9.0,,,71.0,7.888888888888889,14.0,-17.696406858070986,,,,,,,D.Westbrook,MIN,263,193,12,11,0.034220532319391636,,,
119,00-0032104,9.0,,,9.0,1.0,55.0,6.500916151955607,15.0,4.066666666666666,,,,,A.Abdullah,MIN,263,193,12,11,0.034220532319391636,0.07772020725388601,,
