,player_id,week,targets_wk,red_zone_targets_wk,deep_targets_wk,air_yards_per_target_wk,carries_wk,red_zone_carries_wk,yards_per_carry_wk,team,targets_wk_team,carries_wk_team,target_percentage_wk,carry_percentage_wk,player_name
17,00-0036268,2,7.0,,,5.428571428571429,1.0,,0.0,JAX,34,16,0.20588235294117646,0.0625,L.Shenault
18,00-0029293,2,11.0,,2.0,15.909090909090908,,,,JAX,34,16,0.3235294117647059,,M.Jones
19,00-0036971,2,,,,,2.0,,10.5,JAX,34,16,,0.125,T.Lawrence
20,00-0034930,3,1.0,,,-2.0,,,,DET,28,27,0.03571428571428571,,T.Benson
21,00-0034854,3,1.0,,,9.0,,,,DET,28,27,0.03571428571428571,,K.Hodge
22,00-0036277,3,1.0,,,4.0,,,,DET,28,27,0.03571428571428571,,Q.Cephus
23,00-0036963,3,1.0,1.0,,-4.0,,,,DET,28,27,0.03571428571428571,,A.St. Brown
24,00-0033948,3,2.0,,,-1.5,12.0,1.0,3.5,DET,28,27,0.07142857142857142,0.4444444444444444,J.Williams
25,00-0035229,3,2.0,,,4.0,,,,DET,28,27,0.07142857142857142,,T.Hockenson
26,00-0029738,3,3.0,,,7.333333333333333,,,,DET,28,27,0.10714285714285714,,D.Fells
27,00-0036275,3,7.0,1.0,,-1.8571428571428572,14.0,2.0,3.357142857142857,DET,28,27,0.25,0.5185185185185185,D.Swift
28,00-0032464,3,10.0,,1.0,10.9,,,,DET,28,27,0.35714285714285715,,K.Raymond
29,00-0033106,3,,,,,1.0,,4.0,DET,28,27,,0.037037037037037035,J.Goff
30,00-0034903,4,1.0,,,10.0,,,,LAC,38,32,0.02631578947368421,,T.Campbell
31,00-0032725,4,1.0,,,12.0,,,,LAC,38,32,0.02631578947368421,,S.Anderson
32,00-0035414,4,2.0,,,12.5,2.0,,10.0,LAC,38,32,0.05263157894736842,0.0625,J.Guyton
33,00-0035329,4,3.0,1.0,,2.6666666666666665,,,,LAC,38,32,0.07894736842105263,,D.Parham
34,00-0033536,4,4.0,,1.0,17.75,,,,LAC,38,32,0.10526315789473684,,M.Williams
35,00-0034440,4,4.0,1.0,,-1.5,3.0,1.0,-1.3333333333333333,LAC,38,32,0.10526315789473684,0.09375,J.Jackson
36,00-0033699,4,5.0,,,4.8,15.0,,7.8,LAC,38,32,0.13157894736842105,0.46875,A.Ekeler
37,00-0027061,4,7.0,1.0,,9.285714285714286,,,,LAC,38,32,0.18421052631578946,,J.Cook
38,00-0030279,4,11.0,,1.0,8.727272727272727,,,,LAC,38,32,0.2894736842105263,,K.Allen
39,00-0036355,4,,,,,1.0,,6.0,LAC,38,32,,0.03125,J.Herbert
